"ID","Sources","URL From","Matching","Destination","Type","Status","Hits","Header Code"
"","[{""pattern"": ""/tax.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/tax.php","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301"
"","[{""pattern"": ""/tax-services.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/tax-services.php","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301"
"","[{""pattern"": ""/payroll.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/payroll.php","exact","https://thompsonflaherty.com/payroll/","301","active","0","301"
"","[{""pattern"": ""/bookkeeping.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/bookkeeping.php","exact","https://thompsonflaherty.com/bookkeeping/","301","active","0","301"
"","[{""pattern"": ""/accounting.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/accounting.php","exact","https://thompsonflaherty.com/accounting/","301","active","0","301"
"","[{""pattern"": ""/cfo.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/cfo.php","exact","https://thompsonflaherty.com/cfo-services/","301","active","0","301"
"","[{""pattern"": ""/qoe.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/qoe.php","exact","https://thompsonflaherty.com/qoe-service/","301","active","0","301"
"","[{""pattern"": ""/audit.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/audit.php","exact","https://thompsonflaherty.com/qoe-service/","301","active","0","301"
"","[{""pattern"": ""/exit-planning.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/exit-planning.php","exact","https://thompsonflaherty.com/exit-planning/","301","active","0","301"
"","[{""pattern"": ""/about-us.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/about-us.php","exact","https://thompsonflaherty.com/about/","301","active","0","301"
"","[{""pattern"": ""/contact-us.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/contact-us.php","exact","https://thompsonflaherty.com/contact/","301","active","0","301"
"","[{""pattern"": ""/team.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/team.php","exact","https://thompsonflaherty.com/about/","301","active","0","301"
"","[{""pattern"": ""/staff.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/staff.php","exact","https://thompsonflaherty.com/about/","301","active","0","301"
"","[{""pattern"": ""/news.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/news.php","exact","https://thompsonflaherty.com/news/","301","active","0","301"
"","[{""pattern"": ""/blog.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/blog.php","exact","https://thompsonflaherty.com/news/","301","active","0","301"
"","[{""pattern"": ""/clients.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/clients.php","exact","https://thompsonflaherty.com/about/","301","active","0","301"
"","[{""pattern"": ""/testimonials.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/testimonials.php","exact","https://thompsonflaherty.com/about/","301","active","0","301"
"","[{""pattern"": ""/resources.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/resources.php","exact","https://thompsonflaherty.com/news/","301","active","0","301"
"","[{""pattern"": ""/pricing.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/pricing.php","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301"
"","[{""pattern"": ""/sitemap.php"", ""comparison"": ""exact"", ""ignore"": ""case""}]","/sitemap.php","exact","https://thompsonflaherty.com/sitemap_index.xml","301","active","0","301"
