"id","sources","matching","destination","type","status","hits","header_code","created","updated"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:8:""/tax.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:17:""/tax-services.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:12:""/payroll.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/payroll/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:16:""/bookkeeping.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/bookkeeping/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:15:""/accounting.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/accounting/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:8:""/cfo.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/cfo-services/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:8:""/qoe.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/qoe-service/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:10:""/audit.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/qoe-service/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:18:""/exit-planning.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/exit-planning/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:13:""/about-us.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/about/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:15:""/contact-us.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/contact/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:9:""/team.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/about/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:10:""/staff.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/about/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:9:""/news.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/news/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:9:""/blog.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/news/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:12:""/clients.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/about/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:17:""/testimonials.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/about/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:14:""/resources.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/news/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:12:""/pricing.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/tax-business/","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
"","a:1:{i:0;a:3:{s:7:""pattern"";s:12:""/sitemap.php"";s:10:""comparison"";s:5:""exact"";s:6:""ignore"";s:4:""case"";}}","exact","https://thompsonflaherty.com/sitemap_index.xml","301","active","0","301","2026-06-05 12:00:00","2026-06-05 12:00:00"
