Hillcrest Family Dentistry, PLLC
Profit & Loss (Seller's Broker Packet)
Trailing 12 Months: June 2025 - May 2026

Account,Amount
,
Income,
4000 · Production - Owner Doctor,1284500.00
4010 · Production - Hygiene,412800.00
4050 · Adjustments & Insurance Writeoffs,-538100.00
Total Production Net of Writeoffs,1159200.00
,
4100 · Collections - PPO (Delta, MetLife, Cigna, Aetna, BCBS),848300.00
4110 · Collections - Fee-for-Service,268400.00
4120 · Collections - Government (Medicaid),42500.00
Total Collections,1159200.00
,
Cost of Goods Sold,
5000 · Dental Supplies,89400.00
5050 · Lab Fees,138900.00
5100 · Small Instruments & Handpieces,14300.00
Total COGS,242600.00
,
Gross Profit,916600.00
,
Payroll & Benefits,
6000 · Doctor Comp - Owner (W-2),284000.00
6010 · Associate Doctor Comp (1099),68200.00
6020 · Hygienist Wages,178400.00
6030 · Dental Assistant Wages,92800.00
6040 · Front Office / Admin,71400.00
6050 · Payroll Taxes,58200.00
6060 · Health Insurance (Team),24800.00
6070 · Retirement Match,11600.00
Total Payroll,789400.00
,
Occupancy,
6500 · Rent,92800.00
6510 · CAM & Property Tax Reimbursement,8400.00
6520 · Utilities,14200.00
6530 · Building Maintenance,5800.00
Total Occupancy,121200.00
,
Marketing,
6800 · Digital Ads (Google + Meta),28400.00
6810 · SEO & Website,8400.00
6820 · Print / Direct Mail,3800.00
6830 · Community Sponsorships,4200.00
6850 · Patient Referral Rewards,2100.00
Total Marketing,46900.00
,
General & Admin,
7000 · Malpractice Insurance,9800.00
7010 · General Liability Insurance,3200.00
7020 · Practice Management Software (Dentrix),8400.00
7030 · Merchant Processing Fees,29100.00
7040 · Accounting & Legal,14800.00
7050 · Continuing Education (Team),4200.00
7100 · Office Supplies,2800.00
7110 · Uniforms & Laundry,1600.00
Total G&A,73900.00
,
Owner Add-Backs (per seller adjusted-EBITDA memo),
8000 · Owner Auto Lease + Fuel,14200.00
8010 · Owner Cell Phone,1800.00
8020 · Owner Meals & Entertainment,9800.00
8030 · Owner CE Trip (Bahamas Study Club),8400.00
8040 · Family Health Insurance,18200.00
8050 · Owner Personal Travel Coded to Practice,4800.00
8060 · Consulting Fees - Owner's Brother,18000.00
Total Add-Backs Claimed by Seller,75200.00
,
Interest & Other,
9000 · Interest Expense - Practice Loan,12400.00
9050 · Depreciation,38200.00
9100 · Bank Fees,720.00
,
Total Operating Expenses,1400520.00
,
Net Income (as reported),-241320.00
Net Income (post-add-back, per seller memo),-166120.00
Adjusted EBITDA (per seller memo),168480.00
